Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
cosmic-holo-pack,Cosmic Holo Pack,"<p>A holographic die-cut sticker pack of stars, planets and lightning bolts that shift colour with every angle. Waterproof, scratch-proof vinyl — made for laptops, bottles and helmets.</p>",Posterverse,Sticker,"space, stickers, Space, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Bestseller, Original Design, Made in India",TRUE,Finish,Holographic,,,COSMIC-HOLO-PACK-HOLO,shopify,100,deny,manual,149,399,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/p-sticker-holo.webp,1,Cosmic Holo Pack — Posterverse,active
cosmic-holo-pack,,,,,,,Finish,Matte,,,COSMIC-HOLO-PACK-MATT,shopify,100,deny,manual,149,399,TRUE,TRUE,,,,
cosmic-holo-pack,,,,,,,Finish,Glossy,,,COSMIC-HOLO-PACK-GLOS,shopify,100,deny,manual,149,399,TRUE,TRUE,,,,
retro-groove-sheet,Retro Groove Sheet,"<p>70s-inspired groovy sticker sheet — smiley suns, mushrooms and wavy rainbows in warm earthy tones. Premium kiss-cut vinyl that peels clean every time.</p>",Posterverse,Sticker,"abstract, stickers, Abstract, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, New Launch, Original Design, Made in India",TRUE,Finish,Matte,,,RETRO-GROOVE-SHEET-MATT,shopify,100,deny,manual,129,349,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/p-sticker-retro.webp,1,Retro Groove Sheet — Posterverse,active
retro-groove-sheet,,,,,,,Finish,Glossy,,,RETRO-GROOVE-SHEET-GLOS,shopify,100,deny,manual,129,349,TRUE,TRUE,,,,
laptop-vibe-kit,Laptop Vibe Kit,"<p>A curated 12-piece kit to give your laptop a personality upgrade. Rockets, florals and rainbows — fade-proof, bubble-free application, leaves no residue.</p>",Posterverse,Sticker,"tech, stickers, Tech & Code, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Matte,,,LAPTOP-VIBE-KIT-MATT,shopify,100,deny,manual,199,499,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/p-sticker-laptop.webp,1,Laptop Vibe Kit — Posterverse,active
laptop-vibe-kit,,,,,,,Finish,Glossy,,,LAPTOP-VIBE-KIT-GLOS,shopify,100,deny,manual,199,499,TRUE,TRUE,,,,
smiley-pop-pack,Smiley Pop Pack,"<p>Feel-good flowers, smileys and rainbows in our signature pop palette. 15 die-cut waterproof vinyl stickers per pack — the perfect mood-lifter.</p>",Posterverse,Sticker,"humor, stickers, Humor, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Glossy,,,SMILEY-POP-PACK-GLOS,shopify,100,deny,manual,119,299,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/cat-stickers.webp,1,Smiley Pop Pack — Posterverse,active
smiley-pop-pack,,,,,,,Finish,Holographic,,,SMILEY-POP-PACK-HOLO,shopify,100,deny,manual,119,299,TRUE,TRUE,,,,
social-battery-low,Social Battery: Low,"<p>For the days when small talk costs extra. Waterproof die-cut vinyl, 9cm wide.</p>",Posterverse,Sticker,"humor, stickers, Humor, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Bestseller, Original Design, Made in India",TRUE,Finish,Matte,,,SOCIAL-BATTERY-LOW-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-low-battery.png,1,Social Battery: Low — Posterverse,active
